0 52 31 88 7 82 83 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 0 # 0 95 99 59 98 85 5 84 61 16 44 14 38 86 17 45 8 46 48 60 89 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 50 0 # | 0.9 0.09999999999999998 
0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 52 31 88 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 0 # 0 95 99 59 98 85 61 16 44 14 38 86 17 45 8 46 48 60 89 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 50 0 # | 0.8 0.19999999999999996 
0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 52 31 88 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 92 37 100 91 96 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 50 0 # 0 95 59 99 93 98 85 61 16 44 14 38 86 17 45 8 46 48 60 89 0 # | 0.8 0.19999999999999996 
0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 52 31 88 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 37 100 91 96 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 50 0 # 0 95 92 59 99 93 98 85 61 16 44 14 38 86 17 45 8 46 48 60 89 0 # | 0.8 0.19999999999999996 
0 27 69 31 88 62 47 19 11 64 63 90 30 51 71 9 81 33 79 3 77 68 80 24 54 26 0 # 0 53 40 21 73 72 75 23 67 39 25 55 4 56 74 22 41 58 0 # 0 52 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 92 37 100 91 96 0 # 0 28 12 76 29 78 34 35 65 66 20 32 10 70 1 50 0 # 0 2 95 59 99 93 98 85 61 16 44 14 38 86 17 45 8 46 36 49 48 60 89 0 # | 0.8 0.19999999999999996 
0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 52 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 92 37 100 91 96 0 # 0 95 59 99 93 98 85 61 16 44 14 38 86 17 45 8 46 36 49 48 60 89 0 # 0 27 69 31 88 62 47 19 11 64 63 90 30 51 71 65 66 20 32 10 70 1 50 0 # 0 28 12 76 29 33 81 9 35 34 78 79 3 77 68 80 24 54 26 0 # | 0.8 0.19999999999999996 
0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 50 77 68 80 24 54 26 0 # 0 52 31 88 7 82 83 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 0 # 0 95 98 59 99 5 84 61 85 16 44 14 38 86 17 45 8 46 48 60 89 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # | 0.9 0.09999999999999998 
0 52 31 88 7 82 83 18 6 94 13 87 57 15 43 42 97 37 100 91 93 96 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 95 92 98 59 99 5 85 61 16 44 14 38 86 17 84 45 8 46 48 60 89 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 50 77 68 80 24 54 26 0 # | 0.9 0.09999999999999998 
0 52 31 88 7 82 83 5 18 6 94 13 87 57 15 43 42 97 92 37 100 91 96 0 # 0 95 59 99 93 98 85 61 16 44 14 38 86 17 84 45 8 46 48 60 89 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 50 77 68 80 24 54 26 0 # | 0.8 0.19999999999999996 
0 28 12 76 29 78 34 35 65 66 20 32 10 70 1 50 0 # 0 95 99 59 98 85 5 84 61 16 44 14 38 86 17 45 8 46 36 49 48 60 89 0 # 0 52 83 82 47 19 11 64 63 90 30 51 71 9 81 33 79 3 77 68 80 24 54 26 0 # 0 27 69 31 88 62 7 18 6 94 13 87 15 43 42 97 92 37 100 91 93 96 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 57 58 53 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 72 75 22 41 23 67 39 25 55 4 56 74 58 0 # 0 28 12 29 79 78 34 35 65 66 20 32 10 70 1 0 # 0 52 7 82 83 84 5 18 6 94 13 87 57 15 43 42 97 37 100 91 96 0 # 0 2 95 92 59 99 93 98 85 61 16 44 14 38 86 17 45 8 46 36 49 48 60 89 0 # 0 27 69 31 88 62 47 19 11 64 63 90 30 51 71 9 81 33 76 50 3 77 68 80 24 54 26 0 # | 0.8 0.19999999999999996 
