0 27 69 1 50 76 33 81 65 34 78 79 51 30 20 9 35 71 66 32 90 10 70 31 52 0 # 0 89 18 45 46 36 47 48 7 88 62 11 63 64 49 19 82 8 83 60 5 84 17 61 91 100 37 98 93 59 13 58 0 # 0 26 54 39 67 23 41 22 74 75 56 4 55 25 24 29 3 77 68 80 12 28 0 # 0 94 92 42 15 43 14 44 38 86 16 85 99 96 6 95 97 87 57 2 73 72 21 40 53 0 # | 0.9 0.09999999999999998 
0 27 69 1 50 76 33 81 65 34 78 79 51 30 20 9 35 71 66 32 90 10 70 31 52 0 # 0 26 54 39 67 23 75 72 73 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 85 99 96 6 94 95 97 87 2 57 41 22 74 56 4 55 25 24 29 3 77 68 80 12 28 0 # 0 89 18 45 46 36 47 48 7 88 62 11 63 64 49 19 82 8 83 60 5 84 17 61 91 100 37 98 93 59 13 58 0 # | 0.8 0.19999999999999996 
0 26 54 39 67 23 72 73 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 85 99 96 6 94 95 97 87 2 57 41 22 74 75 56 4 55 25 24 29 3 77 68 80 12 28 0 # 0 27 69 1 50 76 33 65 34 78 79 81 51 30 20 9 35 71 66 32 90 10 70 31 52 0 # 0 89 18 45 46 36 47 7 88 62 11 63 64 49 19 48 82 8 83 60 5 84 17 61 91 100 37 98 93 59 13 58 0 # | 0.8 0.19999999999999996 
0 26 39 67 23 75 72 73 21 40 53 0 # 0 89 18 45 46 36 47 48 7 88 62 11 63 64 49 19 82 8 83 60 5 84 17 61 85 91 100 37 98 93 59 95 13 58 0 # 0 27 69 1 50 33 81 65 20 30 51 9 79 3 76 12 24 29 78 34 35 71 66 32 90 10 70 31 52 0 # 0 94 92 42 15 43 14 44 38 86 16 99 96 6 97 87 2 57 41 22 74 56 4 25 55 54 80 68 77 28 0 # | 0.8 0.19999999999999996 
0 52 89 18 48 47 36 46 45 5 92 42 15 43 14 44 38 86 16 85 99 96 6 94 95 97 87 2 57 41 22 74 75 56 4 25 55 24 29 77 68 80 12 0 # 0 26 54 39 67 23 72 73 21 40 53 28 76 3 79 78 34 9 35 66 32 90 10 70 0 # 0 27 69 1 50 33 81 51 71 65 20 30 31 88 62 11 63 64 49 19 7 82 8 83 60 84 17 61 91 100 37 98 93 59 13 58 0 # | 0.9 0.09999999999999998 
0 26 39 67 23 72 73 21 40 53 0 # 0 89 18 45 46 36 47 7 88 62 11 63 64 49 19 48 82 8 83 60 5 84 17 61 85 100 37 98 93 59 13 58 0 # 0 27 69 1 50 33 81 65 20 30 51 9 79 3 76 12 24 29 78 34 35 71 66 32 90 10 70 31 52 0 # 0 94 92 42 15 43 14 44 38 86 16 91 99 96 6 95 97 87 2 57 41 22 74 75 56 4 25 55 54 80 68 77 28 0 # | 0.8 0.19999999999999996 
0 26 39 67 23 72 73 21 40 53 0 # 0 94 92 42 15 43 14 44 38 86 16 91 99 96 6 95 97 87 2 57 41 22 74 75 56 4 55 25 54 80 68 77 28 0 # 0 89 18 45 46 36 47 7 88 62 11 63 64 49 19 48 82 8 83 60 5 84 17 61 85 100 37 98 93 59 13 58 0 # 0 27 69 1 50 33 81 65 20 30 51 9 79 3 76 12 24 29 78 34 35 71 66 32 90 10 70 31 52 0 # | 0.8 0.19999999999999996 
0 52 89 18 48 47 36 46 45 5 92 42 15 43 14 44 38 86 16 85 99 96 6 94 95 97 87 2 57 41 22 74 75 56 4 55 25 24 29 77 68 80 12 0 # 0 26 54 39 67 23 72 73 21 40 53 28 76 3 79 78 34 81 9 35 66 32 90 10 70 0 # 0 27 69 1 50 33 51 71 65 20 30 31 88 62 11 63 64 49 19 7 82 8 83 60 84 17 61 91 100 37 98 93 59 13 58 0 # | 0.9 0.09999999999999998 
0 26 54 39 67 23 72 73 21 40 53 28 76 50 81 79 78 34 9 35 71 66 32 90 10 70 52 0 # 0 89 18 48 47 36 46 45 5 92 42 15 43 14 44 38 86 16 85 99 96 6 94 95 97 87 2 57 41 22 74 75 56 4 55 25 24 29 3 77 68 80 12 0 # 0 27 69 1 33 51 65 20 30 31 88 62 11 63 64 49 19 7 82 8 83 60 84 17 61 91 100 37 98 93 59 13 58 0 # | 0.9 0.09999999999999998 
0 26 39 67 23 41 22 21 40 53 0 # 0 27 69 1 33 81 65 71 9 51 20 30 50 76 12 24 29 3 79 78 34 35 66 32 90 10 70 31 0 # 0 89 92 37 42 15 43 14 44 38 86 16 85 59 99 96 6 94 95 97 87 57 2 73 72 74 75 56 4 25 55 54 80 68 77 28 0 # 0 52 18 45 46 36 47 7 88 62 11 63 64 49 19 48 82 8 83 60 5 84 17 61 91 100 98 93 13 58 0 # | 0.8 0.19999999999999996 
0 27 69 1 33 81 65 34 78 79 3 76 50 30 32 90 63 10 51 9 35 71 66 20 70 31 52 0 # 0 26 54 39 67 23 41 22 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 91 98 37 59 99 96 6 94 95 97 87 57 2 73 72 74 75 56 4 55 25 24 29 77 68 80 12 28 0 # 0 89 18 45 46 36 47 7 88 62 11 64 49 19 48 82 8 83 60 5 84 17 61 85 100 93 13 58 0 # | 0.8 0.19999999999999996 
